sequence,jobId,sourceMime,w,h,fps,sourceSize,hdr,terminal,verdict,verified,plannedTargetRatio,pixelProvenRatio,probedRatios,probeDetail,probeWindowScores,certWindowScores,savedBytes,savedPct,elapsedMs,precedingCooldownMs,thermalStart,thermalEnd
1,job_479022269a34,video/avc,852,480,25,17585377,False,SKIPPED_WOULD_DEGRADE,,False,0.9,,"0.90,0.95",no candidate ratio passed,95.4/84.0/83.8,,0,0,1824,0,,
2,job_7291d4988411,video/avc,1280,720,24,45434067,False,ALREADY_HIGHLY_OPTIMIZED,Remux Verified,True,0.9,,,,,,0,0,14585,0,normal,normal
3,job_efbd4241216d,video/avc,1920,1080,30,117301659,False,SKIPPED_WOULD_DEGRADE,,False,0.9,,"0.90,0.95",no candidate ratio passed,89.3/74.5/74.1,,0,0,6249,0,,
4,job_12f4f41e34d9,video/avc,480,854,30,90356958,False,SKIPPED_WOULD_DEGRADE,,False,0.9,,"0.90,0.95",no candidate ratio passed,90.4/81.3/80.7,,0,0,2094,0,,
5,job_403d9e662d80,video/avc,1916,1080,24,1090160077,False,SKIPPED_WOULD_DEGRADE,,False,0.9,,"0.70,0.80,0.90,0.95",no candidate ratio passed,97.9/91.4/85.3;97.9/93.0/86.9;96.0/86.3/85.7,,0,0,30507,0,,
6,job_6a0f98989283,video/avc,1280,720,25,189994760,False,SKIPPED_WOULD_DEGRADE,,False,0.9,,"0.90,0.95",no candidate ratio passed,85.9/76.5/76.2,,0,0,3037,0,,
7,job_c15301378d30,video/avc,640,790,30,26509204,False,SKIPPED_WOULD_DEGRADE,,False,0.9,,"0.90,0.95",no candidate ratio passed,88.0/77.2/76.9,,0,0,2283,0,,
8,job_f7e632f87b7e,video/avc,1280,720,24,296571105,False,SKIPPED_WOULD_DEGRADE,,False,0.9,,"0.90,0.95",no candidate ratio passed,89.4/73.1/72.4,,0,0,2805,0,,
9,job_1d6959dfe250,video/avc,852,480,25,115387199,False,SKIPPED_WOULD_DEGRADE,,False,0.9,,"0.90,0.95",no candidate ratio passed,89.2/84.5/82.6,,0,0,1871,0,,
10,job_0dd296c9aef2,video/avc,1920,1080,30,1771600203,False,TRANSCODED_SMALLER,Perceptually Lossless Verified,True,0.85,0.85,"0.70,0.80,0.90,0.85",windows passed at 0.85 (refined),97.1/91.6/91.4;97.0/92.4/91.9;97.4/92.6/92.4,97.2/93.4/93.1;97.5/94.0/93.7;97.7/93.1/93.0,466753079,0.26346411465160574,148918,0,normal,slightly warm
11,job_a662b978cbf3,video/avc,930,1078,24,83911982,False,ALREADY_HIGHLY_OPTIMIZED,Remux Verified,True,0.9,,,"probes skipped: this profile class measured visible loss at every candidate in 2 consecutive recent ladders (skip 1/3, then re-probes)",,,0,0,10192,10000,slightly warm,slightly warm
12,job_01b17b928e9c,video/avc,1080,1080,30,75477377,False,SKIPPED_WOULD_DEGRADE,,False,0.9,,"0.90,0.95",no candidate ratio passed,90.2/82.7/79.2,,0,0,3797,0,,
13,job_3e0dc06b45fe,video/avc,1280,720,25,184580465,False,SKIPPED_WOULD_DEGRADE,,False,0.9,,"0.90,0.95",no candidate ratio passed,89.5/79.4/78.9,,0,0,3654,0,,
14,job_7c1de5a28d82,video/avc,1280,720,24,100862910,False,UNEXPECTED_REMUX,Remux Verified,True,0.9,,,"probes skipped: this profile class measured visible loss at every candidate in 2 consecutive recent ladders (skip 1/3, then re-probes)",,93.3/91.1/88.6;95.1/92.3/90.0;92.9/88.3/88.1,0,0,39968,0,slightly warm,slightly warm
15,job_b89013779738,video/avc,854,480,25,304250125,False,TRANSCODED_SMALLER,Perceptually Lossless Verified,True,0.9,,,"probes skipped: this profile class measured visible loss at every candidate in 2 consecutive recent ladders (skip 2/3, then re-probes)",,97.9/94.2/90.5;98.2/94.1/91.2;97.4/93.5/85.8,33354262,0.10962776761389992,128290,10000,slightly warm,slightly warm
16,job_5ca677bd9ef6,video/avc,846,480,24,139398721,False,ALREADY_HIGHLY_OPTIMIZED,Remux Verified,True,0.9,,"0.90,0.95",no candidate ratio passed,,,0,0,34966,10000,slightly warm,slightly warm
