jobId,nameHash,class,sourceMime,width,height,fps,durationMs,sourceBytes,terminal,selectedRatio,certWindowCount,savedBytes
job_be917e463748,7e9cdaffb5b3,certified_smaller,video/hevc,1280,720,24,10000,6522341,TRANSCODED_SMALLER,0.68,3,1671589
job_0291f3c84fd5,d90dfeafadc0,structural_or_size_rejection,video/avc,268,480,30,9301,1157608,UNEXPECTED_REMUX,0.97,0,0
job_478c2fa19100,4bf7f7e2b133,final_certification_rejected,video/avc,1356,760,10,128104,16753345,SKIPPED_WOULD_DEGRADE,0.85,3,0
job_83e666c8f930,6b9c0b7ee064,measured_probe_rejection,video/avc,1920,1080,30,1415094,691692511,SKIPPED_WOULD_DEGRADE,,0,0
job_232184e858eb,5f401260ac65,measured_probe_rejection,video/avc,1920,1080,30,1396587,639170083,SKIPPED_WOULD_DEGRADE,,0,0
job_43daf91aa57b,fcbe8edcde58,measured_probe_rejection,video/avc,1080,1920,30,23986,20223929,SKIPPED_WOULD_DEGRADE,,0,0
job_f729253151a6,db9f5e44909a,certified_smaller,video/avc,1920,1080,30,1196873,742856372,TRANSCODED_SMALLER,0.9,3,71317210
job_8805ba3ae425,d2a4bf9f1ce4,measured_probe_rejection,video/avc,1920,962,30,1082398,392882178,SKIPPED_WOULD_DEGRADE,,0,0
job_01cf1624426d,bccbdfba8ae8,measured_probe_rejection,video/avc,1080,1920,30,518780,383020335,SKIPPED_WOULD_DEGRADE,,0,0
job_3524dcd2bf18,3330da31306e,measured_probe_rejection,video/avc,720,1280,24,141611,26596979,SKIPPED_WOULD_DEGRADE,,0,0
job_434bc1a9036c,55b53e1cbd7a,certified_smaller,video/avc,1080,1920,30,20480,15868713,TRANSCODED_SMALLER,0.65,3,5018609
job_2d1bdab44eec,d480d934cf2b,certified_smaller,video/avc,1088,1920,30,20178,16171941,TRANSCODED_SMALLER,0.95,3,481770
job_48ea8d70d793,f322553fdb1c,certified_smaller,video/hevc,1080,1440,30,15657,22851021,TRANSCODED_SMALLER,0.68,3,6710183
job_458aa0663c3e,d0631e6e5b58,certified_smaller,video/avc,2160,3840,30,25031,73612248,TRANSCODED_SMALLER,0.9,3,7013860
job_f92567016fae,c6bc7e1a848b,certified_smaller,video/avc,1920,1080,30,1305588,727795726,TRANSCODED_SMALLER,0.9,3,69378688
job_24f61e705511,ce539ca7bd40,measured_probe_rejection,video/avc,1920,1080,25,1557571,673323275,SKIPPED_WOULD_DEGRADE,,0,0
job_1c5ac6925d1d,0a79f212c643,certified_smaller,video/avc,1080,1080,30,2113109,792680679,TRANSCODED_SMALLER,0.97,3,20925761
job_2866238d579f,1bcf48f749eb,certified_smaller,video/avc,1080,1080,30,1244079,467377094,TRANSCODED_SMALLER,0.75,3,110669884
job_34f35736a973,127e9f2ef990,certified_smaller,video/avc,1080,1080,30,1244079,467377094,TRANSCODED_SMALLER,0.75,3,110669884
job_9260d5d28798,3cfe984dbf99,certified_smaller,video/avc,1080,1080,30,1396796,554767601,TRANSCODED_SMALLER,0.8,3,105229338
job_302fe65f6d69,c32ff1bf4a71,measured_probe_rejection,video/avc,1080,1080,30,281426,107194289,SKIPPED_WOULD_DEGRADE,,0,0
job_7a615b098ee0,fecd483cda9e,certified_smaller,video/avc,1080,1080,30,1473863,623532968,TRANSCODED_SMALLER,0.95,3,28630866
job_a15a8b28f36b,4c9ef9bffcf6,certified_smaller,video/avc,1080,1920,30,254003,206433345,TRANSCODED_SMALLER,0.95,3,9885514
job_4e02400464fd,69b0b02bd017,certified_smaller,video/avc,1080,1858,24,610801,306243731,TRANSCODED_SMALLER,0.97,3,8181980
job_d127463b57d6,11abd8c30f24,certified_smaller,video/avc,1080,1080,30,843418,322388270,TRANSCODED_SMALLER,0.75,3,76270170
job_c0f82bb62f94,7fc560da1462,certified_smaller,video/hevc,2560,1440,30,17963,19201965,TRANSCODED_SMALLER,0.95,3,877194
job_402118a5a2d5,20e7d5bd149c,certified_smaller,video/hevc,1080,1080,30,637607,263638756,TRANSCODED_SMALLER,0.75,3,59980020
job_dbe605676504,0a2a8ac8e195,certified_smaller,video/hevc,1080,1080,30,242519,100428193,TRANSCODED_SMALLER,0.75,3,22869267
job_732f7ecfb699,eeb5c1fd45b0,already_highly_optimized,video/avc,2160,3840,30,279266,528770015,ALREADY_HIGHLY_OPTIMIZED,,0,0
job_bf0946e89013,9bf2bfbb1e64,certified_smaller,video/hevc,640,296,30,19465,6623306,TRANSCODED_SMALLER,0.68,3,1565758
job_6edadd008d8c,f39b4df441c9,measured_probe_rejection,video/hevc,2160,3840,30,212553,355499200,SKIPPED_WOULD_DEGRADE,,0,0
job_364d10590ff5,f552ef4d610a,source_parse_failure,video/avc,1920,1080,30,1884032,1432387113,UNEXPECTED_REMUX,,0,0
job_c45cbb761669,f62b05366324,source_parse_failure,video/avc,1920,1080,24,1915392,1095196361,UNEXPECTED_REMUX,,0,0
job_5f6edcdbe873,6e7da90b1299,source_parse_failure,video/avc,1080,1920,30,92090,52175759,UNEXPECTED_REMUX,,0,0
job_e41b86c02510,267ea6d1b73a,source_parse_failure,video/avc,1280,720,50,3119701,652267709,UNEXPECTED_REMUX,,0,0
job_85ded214d783,c6e13a29211e,source_parse_failure,video/avc,3840,2160,30,1778496,4250584607,UNEXPECTED_REMUX,,0,0
job_c4929a530604,6a947d25fc73,source_parse_failure,video/avc,1920,1080,24,1694891,441938927,UNEXPECTED_REMUX,,0,0
job_e43fe6517e6a,fd2a0faa2f2f,certified_smaller,video/avc,1920,1080,24,1150741,672496313,TRANSCODED_SMALLER,0.85,3,96788869
job_4dbbc7d6ffdb,7b37a0423b5c,certified_smaller,video/hevc,1080,1920,30,9059,6029174,TRANSCODED_SMALLER,0.75,1,808356
job_535f880370d6,267729488650,already_highly_optimized,video/hevc,1280,2276,30,9849,8293690,ALREADY_HIGHLY_OPTIMIZED,,0,0
job_c92a4ca7e1be,c142f9a0c9f6,final_certification_rejected,video/avc,1920,1080,30,280896,276800517,SKIPPED_WOULD_DEGRADE,0.97,3,0
job_f61d78761122,e9a36d29e008,certified_smaller,video/hevc,1080,1920,29,21928,13376297,TRANSCODED_SMALLER,0.77,3,2651842
job_50d1ff00cad6,c747be3d34da,structural_or_size_rejection,video/hevc,1080,1920,24,7340,4604039,UNEXPECTED_REMUX,0.95,0,0
job_d17cde7e6e97,a20f9d2380fd,certified_smaller,video/hevc,1080,1920,24,8084,5402623,TRANSCODED_SMALLER,0.75,1,847236
